0,,zh_CN,en_US,zh-aa,en -bb
,ERROR_CODE_10001,参数错误,The parameter is incorrect,参数错误,The parameter is incorrect
,ERROR_CODE_10002,获取二维码失败，请检查设备身份!,"Failed to get the QR code, please check the device identity",获取二维码失败，请检查设备身份!,"Failed to get the QR code, please check the device identity"
,ERROR_CODE_10003,未知的位号,Unknow tag,未知的位号,Unknow tag
,ERROR_CODE_10004,操作异常，请重试,"The operation is abnormal, please try again",操作异常，请重试,"The operation is abnormal, please try again"
,ERROR_CODE_10005,数据初始化中，请稍等,"Initializing, please wait",数据初始化中，请稍等,"Initializing, please wait"
,STR_INTERFACE_RESPONSE_146,只能上传XML文件,Only XML files can be uploaded!,只能上传XML文件,Only XML files can be uploaded!
,STR_INTERFACE_RESPONSE_147,下载（%s）文件失败,The download of the file (%s) failed,下载（%s）文件失败,The download of the file (%s) failed
,STR_INTERFACE_RESPONSE_148,文件夹名称不能为空,The folder name cannot be empty,文件夹名称不能为空,The folder name cannot be empty
,STR_INTERFACE_RESPONSE_149,删除对象为空,The object to be deleted is empty,删除对象为空,The object to be deleted is empty
,STR_INTERFACE_RESPONSE_150,不支持文件夹移动,Folder movement is not supported,不支持文件夹移动,Folder movement is not supported
,STR_INTERFACE_RESPONSE_151,文件不存在,The file does not exist,文件不存在,The file does not exist
,STR_INTERFACE_RESPONSE_152,查询失败,The query failed,查询失败,The query failed
,STR_INTERFACE_RESPONSE_153,存在同名文件夹，修改后重试,"Existing folder with the same name, please try again after modification.",存在同名文件夹，修改后重试,"Existing folder with the same name, please try again after modification."
,STR_INTERFACE_RESPONSE_154,文件夹名称不能超过%d个字符,The folder name cannot exceed %d characters,文件夹名称不能超过%d个字符,The folder name cannot exceed %d characters
,STR_INTERFACE_RESPONSE_155,"文件夹名称不能出现以下特殊字符：\/:*?""<>|","The folder name cannot contain the following special characters: \/:*?""<>|","文件夹名称不能出现以下特殊字符：\/:*?""<>|","The folder name cannot contain the following special characters: \/:*?""<>|"
,STR_INTERFACE_RESPONSE_156,下载失败,Download failed,下载失败,Download failed
,STR_INTERFACE_RESPONSE_157,下载成压缩包失败，下载数量少于%d个,"The download failed as a compressed file, with fewer than %d items downloaded",下载成压缩包失败，下载数量少于%d个,"The download failed as a compressed file, with fewer than %d items downloaded"
,STR_INTERFACE_RESPONSE_158,导出数据为空,The export data is empty,导出数据为空,The export data is empty
,STR_INTERFACE_RESPONSE_159,不支持的后缀类型,Unsupported suffix types,不支持的后缀类型,Unsupported suffix types
,STR_INTERFACE_RESPONSE_165,非法文件，请检查后重新导入,"Invalid file, please check and import again",非法文件，请检查后重新导入,"Invalid file, please check and import again"
,STR_INTERFACE_RESPONSE_166,上传失败：请检查配置文件,"Upload failed, please check the configuration file",上传失败：请检查配置文件,"Upload failed, please check the configuration file"
